viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Elements/MetricsCard,Variation 1 Data Only,light,,,1200,1200
1200,Elements/MetricsCard,Variation 1 Data Only,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 2 Data Cta,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 2 Data Cta,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 2 Data Only,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 2 Data Only,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 3 Data Cta,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 3 Data Cta,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 3 Data Only,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 3 Data Only,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 4 Data Cta,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 4 Data Cta,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 4 Data Only,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 4 Data Only,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 5 Data Cta,light,,,1200,1200
1200,Elements/MetricsCard,Variation 5 Data Cta,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 5 Data Only,light,,,1200,1200
1200,Elements/MetricsCard,Variation 5 Data Only,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 6 Data Cta,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,Variation 6 Data Cta,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 6 Data Only,light,,,1200,1200
1200,Elements/MetricsCard,Variation 6 Data Only,dark,,,1200,1200
1200,Elements/MetricsCard,All Variations,light,color-contrast,,1200,1200
1200,Elements/MetricsCard,All Variations,dark,,,1200,1200
1200,Elements/FileUpload/DropZone,Default,light,,,1200,1200
1200,Elements/FileUpload/DropZone,Default,dark,,,1200,1200
1200,Elements/FileUpload/DropZone,Uploading,light,aria-progressbar-name,aria-prohibited-attr,1200,1200
1200,Elements/FileUpload/DropZone,Uploading,dark,aria-progressbar-name,aria-prohibited-attr,1200,1200
1200,Elements/FileUpload/DropZone,Success,light,color-contrast,,1200,1200
1200,Elements/FileUpload/DropZone,Success,dark,,,1200,1200
